type,actor_name,message_type_or_count,value
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-0,ParameterReceived,4
LOAD,dataShard-0,COUNT,1
LATENCY,decoder-dataShard-2,Decode,580
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,encoder-dataShard-3,Backward,1110
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,dataShard-3,DataPointProcessed,0
LOAD,dataShard-3,COUNT,1
LATENCY,encoder-dataShard-0,ForwardPass,938
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,decoder-dataShard-1,LossResponse,1423
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,dataShard-2,ComputeLossWithReply,1095
LOAD,dataShard-2,COUNT,1
LATENCY,latent-dataShard-0,Reparametize,491
LOAD,latent-dataShard-0,COUNT,1
LATENCY,ParameterShardActor,Gradient,1664
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-4,ParameterReceived,7
LOAD,dataShard-4,COUNT,1
LATENCY,latent-dataShard-1,Backward,741
LOAD,latent-dataShard-1,COUNT,1
LATENCY,decoder-dataShard-0,Decode,879
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,encoder-dataShard-4,ForwardPass,866
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,decoder-dataShard-2,LossResponse,1333
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,encoder-dataShard-1,Backward,1067
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,dataShard-1,DataPointProcessed,0
LOAD,dataShard-1,COUNT,1
LATENCY,latent-dataShard-4,Reparametize,458
LOAD,latent-dataShard-4,COUNT,1
LATENCY,ParameterShardActor,Gradient,1654
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-3,ParameterReceived,6
LOAD,dataShard-3,COUNT,1
LATENCY,latent-dataShard-2,Backward,747
LOAD,latent-dataShard-2,COUNT,1
LATENCY,dataShard-0,ComputeLossWithReply,1156
LOAD,dataShard-0,COUNT,1
LATENCY,decoder-dataShard-4,Decode,621
LOAD,decoder-dataShard-4,COUNT,1
LATENCY,encoder-dataShard-3,ForwardPass,1077
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,encoder-dataShard-2,Backward,1099
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,dataShard-2,DataPointProcessed,0
LOAD,dataShard-2,COUNT,1
LATENCY,latent-dataShard-3,Reparametize,340
LOAD,latent-dataShard-3,COUNT,1
LATENCY,dataShard-4,ComputeLossWithReply,1297
LOAD,dataShard-4,COUNT,1
LATENCY,decoder-dataShard-0,LossResponse,1438
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,ParameterShardActor,Gradient,1790
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-1,ParameterReceived,6
LOAD,dataShard-1,COUNT,1
LATENCY,decoder-dataShard-3,Decode,569
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,latent-dataShard-0,Backward,958
LOAD,latent-dataShard-0,COUNT,1
LATENCY,encoder-dataShard-1,ForwardPass,902
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,decoder-dataShard-4,LossResponse,1381
LOAD,decoder-dataShard-4,COUNT,1
LATENCY,latent-dataShard-1,Reparametize,380
LOAD,latent-dataShard-1,COUNT,1
LATENCY,dataShard-3,ComputeLossWithReply,1310
LOAD,dataShard-3,COUNT,1
LATENCY,ParameterShardActor,Gradient,1925
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-2,ParameterReceived,1
LOAD,dataShard-2,COUNT,1
LATENCY,decoder-dataShard-1,Decode,636
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,encoder-dataShard-0,Backward,1271
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,dataShard-0,DataPointProcessed,0
LOAD,dataShard-0,COUNT,1
LATENCY,latent-dataShard-4,Backward,930
LOAD,latent-dataShard-4,COUNT,1
LATENCY,encoder-dataShard-2,ForwardPass,866
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,decoder-dataShard-3,LossResponse,1420
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,dataShard-1,ComputeLossWithReply,1124
LOAD,dataShard-1,COUNT,1
LATENCY,latent-dataShard-2,Reparametize,509
LOAD,latent-dataShard-2,COUNT,1
LATENCY,encoder-dataShard-4,Backward,1180
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,dataShard-4,DataPointProcessed,0
LOAD,dataShard-4,COUNT,1
LATENCY,latent-dataShard-3,Backward,766
LOAD,latent-dataShard-3,COUNT,1
LATENCY,ParameterShardActor,Gradient,1716
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-0,ParameterReceived,7
LOAD,dataShard-0,COUNT,1
LATENCY,decoder-dataShard-2,Decode,611
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,decoder-dataShard-1,LossResponse,1561
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,encoder-dataShard-0,ForwardPass,965
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,encoder-dataShard-3,Backward,1059
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,dataShard-3,DataPointProcessed,0
LOAD,dataShard-3,COUNT,1
LATENCY,latent-dataShard-0,Reparametize,308
LOAD,latent-dataShard-0,COUNT,1
LATENCY,dataShard-2,ComputeLossWithReply,1239
LOAD,dataShard-2,COUNT,1
LATENCY,latent-dataShard-1,Backward,673
LOAD,latent-dataShard-1,COUNT,1
LATENCY,decoder-dataShard-0,Decode,522
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,ParameterShardActor,Gradient,1921
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-4,ParameterReceived,6
LOAD,dataShard-4,COUNT,1
LATENCY,encoder-dataShard-1,Backward,943
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,dataShard-1,DataPointProcessed,0
LOAD,dataShard-1,COUNT,1
LATENCY,decoder-dataShard-2,LossResponse,1217
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,encoder-dataShard-4,ForwardPass,735
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,dataShard-0,ComputeLossWithReply,1234
LOAD,dataShard-0,COUNT,1
LATENCY,latent-dataShard-4,Reparametize,398
LOAD,latent-dataShard-4,COUNT,1
LATENCY,latent-dataShard-2,Backward,552
LOAD,latent-dataShard-2,COUNT,1
LATENCY,decoder-dataShard-4,Decode,608
LOAD,decoder-dataShard-4,COUNT,1
LATENCY,ParameterShardActor,Gradient,1803
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-3,ParameterReceived,8
LOAD,dataShard-3,COUNT,1
LATENCY,encoder-dataShard-2,Backward,1045
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,dataShard-2,DataPointProcessed,0
LOAD,dataShard-2,COUNT,1
LATENCY,decoder-dataShard-0,LossResponse,1371
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,encoder-dataShard-3,ForwardPass,869
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,dataShard-4,ComputeLossWithReply,1130
LOAD,dataShard-4,COUNT,1
LATENCY,latent-dataShard-3,Reparametize,360
LOAD,latent-dataShard-3,COUNT,1
LATENCY,latent-dataShard-0,Backward,751
LOAD,latent-dataShard-0,COUNT,1
LATENCY,decoder-dataShard-3,Decode,609
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,ParameterShardActor,Gradient,1941
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-1,ParameterReceived,7
LOAD,dataShard-1,COUNT,1
LATENCY,encoder-dataShard-0,Backward,945
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,dataShard-0,DataPointProcessed,0
LOAD,dataShard-0,COUNT,1
LATENCY,decoder-dataShard-4,LossResponse,1327
LOAD,decoder-dataShard-4,COUNT,1
LATENCY,encoder-dataShard-1,ForwardPass,859
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,dataShard-3,ComputeLossWithReply,1049
LOAD,dataShard-3,COUNT,1
LATENCY,latent-dataShard-4,Backward,709
LOAD,latent-dataShard-4,COUNT,1
LATENCY,latent-dataShard-1,Reparametize,411
LOAD,latent-dataShard-1,COUNT,1
LATENCY,ParameterShardActor,Gradient,1719
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-2,ParameterReceived,1
LOAD,dataShard-2,COUNT,1
LATENCY,decoder-dataShard-1,Decode,531
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,encoder-dataShard-4,Backward,965
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,dataShard-4,DataPointProcessed,0
LOAD,dataShard-4,COUNT,1
LATENCY,decoder-dataShard-3,LossResponse,1275
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,encoder-dataShard-2,ForwardPass,765
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,dataShard-1,ComputeLossWithReply,975
LOAD,dataShard-1,COUNT,1
LATENCY,latent-dataShard-3,Backward,658
LOAD,latent-dataShard-3,COUNT,1
LATENCY,latent-dataShard-2,Reparametize,401
LOAD,latent-dataShard-2,COUNT,1
LATENCY,decoder-dataShard-2,Decode,467
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,ParameterShardActor,Gradient,1664
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-0,ParameterReceived,8
LOAD,dataShard-0,COUNT,1
LATENCY,encoder-dataShard-3,Backward,935
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,dataShard-3,DataPointProcessed,0
LOAD,dataShard-3,COUNT,1
LATENCY,decoder-dataShard-1,LossResponse,1495
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,encoder-dataShard-0,ForwardPass,950
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,dataShard-2,ComputeLossWithReply,1230
LOAD,dataShard-2,COUNT,1
LATENCY,latent-dataShard-0,Reparametize,487
LOAD,latent-dataShard-0,COUNT,1
LATENCY,ParameterShardActor,Gradient,1665
LOAD,ParameterShardActor,COUNT,1
LATENCY,latent-dataShard-1,Backward,750
LOAD,latent-dataShard-1,COUNT,1
LATENCY,dataShard-4,ParameterReceived,6
LOAD,dataShard-4,COUNT,1
LATENCY,decoder-dataShard-0,Decode,599
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,decoder-dataShard-2,LossResponse,1399
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,encoder-dataShard-4,ForwardPass,974
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,encoder-dataShard-1,Backward,1215
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,dataShard-1,DataPointProcessed,0
LOAD,dataShard-1,COUNT,1
LATENCY,latent-dataShard-4,Reparametize,399
LOAD,latent-dataShard-4,COUNT,1
LATENCY,dataShard-0,ComputeLossWithReply,1204
LOAD,dataShard-0,COUNT,1
LATENCY,latent-dataShard-2,Backward,725
LOAD,latent-dataShard-2,COUNT,1
LATENCY,decoder-dataShard-4,Decode,579
LOAD,decoder-dataShard-4,COUNT,1
LATENCY,ParameterShardActor,Gradient,1998
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-3,ParameterReceived,8
LOAD,dataShard-3,COUNT,1
LATENCY,encoder-dataShard-2,Backward,1036
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,dataShard-2,DataPointProcessed,1
LOAD,dataShard-2,COUNT,1
LATENCY,encoder-dataShard-3,ForwardPass,753
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,decoder-dataShard-0,LossResponse,1358
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,dataShard-4,ComputeLossWithReply,1017
LOAD,dataShard-4,COUNT,1
LATENCY,latent-dataShard-3,Reparametize,494
LOAD,latent-dataShard-3,COUNT,1
LATENCY,ParameterShardActor,Gradient,1694
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-1,ParameterReceived,80
LOAD,dataShard-1,COUNT,1
LATENCY,latent-dataShard-0,Backward,837
LOAD,latent-dataShard-0,COUNT,1
LATENCY,decoder-dataShard-3,Decode,548
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,decoder-dataShard-4,LossResponse,1221
LOAD,decoder-dataShard-4,COUNT,1
LATENCY,encoder-dataShard-1,ForwardPass,917
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,encoder-dataShard-0,Backward,970
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,dataShard-0,DataPointProcessed,0
LOAD,dataShard-0,COUNT,1
LATENCY,dataShard-3,ComputeLossWithReply,1026
LOAD,dataShard-3,COUNT,1
LATENCY,latent-dataShard-4,Backward,695
LOAD,latent-dataShard-4,COUNT,1
LATENCY,latent-dataShard-1,Reparametize,481
LOAD,latent-dataShard-1,COUNT,1
LATENCY,ParameterShardActor,Gradient,1848
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-2,ParameterReceived,1
LOAD,dataShard-2,COUNT,1
LATENCY,decoder-dataShard-1,Decode,640
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,encoder-dataShard-4,Backward,946
LATENCY,dataShard-4,DataPointProcessed,1
LOAD,dataShard-4,COUNT,1
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,decoder-dataShard-3,LossResponse,1456
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,encoder-dataShard-2,ForwardPass,979
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,latent-dataShard-2,Reparametize,391
LOAD,latent-dataShard-2,COUNT,1
LATENCY,dataShard-1,ComputeLossWithReply,1136
LOAD,dataShard-1,COUNT,1
LATENCY,latent-dataShard-3,Backward,694
LOAD,latent-dataShard-3,COUNT,1
LATENCY,decoder-dataShard-2,Decode,519
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,ParameterShardActor,Gradient,2119
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-0,ParameterReceived,6
LOAD,dataShard-0,COUNT,1
LATENCY,encoder-dataShard-3,Backward,1165
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,dataShard-3,DataPointProcessed,0
LOAD,dataShard-3,COUNT,1
LATENCY,decoder-dataShard-1,LossResponse,1368
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,dataShard-2,ComputeLossWithReply,977
LOAD,dataShard-2,COUNT,1
LATENCY,encoder-dataShard-0,ForwardPass,751
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,latent-dataShard-0,Reparametize,398
LOAD,latent-dataShard-0,COUNT,1
LATENCY,latent-dataShard-1,Backward,768
LOAD,latent-dataShard-1,COUNT,1
LATENCY,decoder-dataShard-0,Decode,527
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,ParameterShardActor,Gradient,1738
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-4,ParameterReceived,4
LOAD,dataShard-4,COUNT,1
LATENCY,decoder-dataShard-2,LossResponse,1069
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,latent-dataShard-2,Backward,604
LOAD,latent-dataShard-2,COUNT,1
LATENCY,encoder-dataShard-1,Backward,1115
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,dataShard-1,DataPointProcessed,0
LOAD,dataShard-1,COUNT,1
LATENCY,encoder-dataShard-4,ForwardPass,910
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,dataShard-0,ComputeLossWithReply,1080
LOAD,dataShard-0,COUNT,1
LATENCY,latent-dataShard-4,Reparametize,484
LOAD,latent-dataShard-4,COUNT,1
LATENCY,ParameterShardActor,Gradient,1728
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-3,ParameterReceived,5
LOAD,dataShard-3,COUNT,1
LATENCY,encoder-dataShard-2,Backward,1047
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,dataShard-2,DataPointProcessed,1
LOAD,dataShard-2,COUNT,1
LATENCY,decoder-dataShard-4,Decode,621
LOAD,decoder-dataShard-4,COUNT,1
LATENCY,decoder-dataShard-0,LossResponse,1253
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,encoder-dataShard-3,ForwardPass,929
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,latent-dataShard-0,Backward,637
LOAD,latent-dataShard-0,COUNT,1
LATENCY,dataShard-4,ComputeLossWithReply,1070
LOAD,dataShard-4,COUNT,1
LATENCY,latent-dataShard-3,Reparametize,458
LOAD,latent-dataShard-3,COUNT,1
LATENCY,ParameterShardActor,Gradient,1633
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-1,ParameterReceived,4
LOAD,dataShard-1,COUNT,1
LATENCY,decoder-dataShard-3,Decode,641
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,encoder-dataShard-0,Backward,1054
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,dataShard-0,DataPointProcessed,0
LOAD,dataShard-0,COUNT,1
LATENCY,encoder-dataShard-1,ForwardPass,1038
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,decoder-dataShard-4,LossResponse,1523
LOAD,decoder-dataShard-4,COUNT,1
LATENCY,dataShard-3,ComputeLossWithReply,975
LOAD,dataShard-3,COUNT,1
LATENCY,latent-dataShard-1,Reparametize,463
LOAD,latent-dataShard-1,COUNT,1
LATENCY,ParameterShardActor,Gradient,1754
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-2,ParameterReceived,1
LOAD,dataShard-2,COUNT,1
LATENCY,latent-dataShard-4,Backward,739
LOAD,latent-dataShard-4,COUNT,1
LATENCY,decoder-dataShard-1,Decode,776
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,encoder-dataShard-2,ForwardPass,892
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,decoder-dataShard-3,LossResponse,1422
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,latent-dataShard-2,Reparametize,422
LOAD,latent-dataShard-2,COUNT,1
LATENCY,encoder-dataShard-4,Backward,1091
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,dataShard-4,DataPointProcessed,1
LOAD,dataShard-4,COUNT,1
LATENCY,dataShard-1,ComputeLossWithReply,1159
LOAD,dataShard-1,COUNT,1
LATENCY,ParameterShardActor,Gradient,1797
LOAD,ParameterShardActor,COUNT,1
LATENCY,latent-dataShard-3,Backward,772
LOAD,latent-dataShard-3,COUNT,1
LATENCY,dataShard-0,ParameterReceived,4
LOAD,dataShard-0,COUNT,1
LATENCY,decoder-dataShard-2,Decode,573
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,encoder-dataShard-3,Backward,959
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,dataShard-3,DataPointProcessed,0
LOAD,dataShard-3,COUNT,1
LATENCY,encoder-dataShard-0,ForwardPass,1031
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,dataShard-2,ComputeLossWithReply,1044
LOAD,dataShard-2,COUNT,1
LATENCY,decoder-dataShard-1,LossResponse,1314
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,ParameterShardActor,Gradient,1504
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-4,ParameterReceived,5
LOAD,dataShard-4,COUNT,1
LATENCY,latent-dataShard-0,Reparametize,553
LOAD,latent-dataShard-0,COUNT,1
LATENCY,decoder-dataShard-0,Decode,486
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,latent-dataShard-1,Backward,1201
LOAD,latent-dataShard-1,COUNT,1
LATENCY,encoder-dataShard-4,ForwardPass,943
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,decoder-dataShard-2,LossResponse,1504
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,latent-dataShard-4,Reparametize,727
LOAD,latent-dataShard-4,COUNT,1
LATENCY,dataShard-0,ComputeLossWithReply,1115
LOAD,dataShard-0,COUNT,1
LATENCY,latent-dataShard-2,Backward,612
LOAD,latent-dataShard-2,COUNT,1
LATENCY,encoder-dataShard-1,Backward,946
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,dataShard-1,DataPointProcessed,0
LOAD,dataShard-1,COUNT,1
LATENCY,ParameterShardActor,Gradient,2248
LOAD,ParameterShardActor,COUNT,1
LATENCY,decoder-dataShard-4,Decode,580
LOAD,decoder-dataShard-4,COUNT,1
LATENCY,dataShard-3,ParameterReceived,7
LOAD,dataShard-3,COUNT,1
LATENCY,encoder-dataShard-2,Backward,1127
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,dataShard-2,DataPointProcessed,0
LOAD,dataShard-2,COUNT,1
LATENCY,decoder-dataShard-0,LossResponse,1376
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,encoder-dataShard-3,ForwardPass,927
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,dataShard-4,ComputeLossWithReply,1146
LOAD,dataShard-4,COUNT,1
LATENCY,latent-dataShard-3,Reparametize,411
LOAD,latent-dataShard-3,COUNT,1
LATENCY,latent-dataShard-0,Backward,732
LOAD,latent-dataShard-0,COUNT,1
LATENCY,decoder-dataShard-3,Decode,792
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,ParameterShardActor,Gradient,2713
LOAD,ParameterShardActor,COUNT,1
LATENCY,encoder-dataShard-0,Backward,1145
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,dataShard-0,DataPointProcessed,1
LOAD,dataShard-0,COUNT,1
LATENCY,dataShard-1,ParameterReceived,4
LOAD,dataShard-1,COUNT,1
LATENCY,decoder-dataShard-4,LossResponse,1980
LOAD,decoder-dataShard-4,COUNT,1
LATENCY,encoder-dataShard-1,ForwardPass,837
LOAD,encoder-dataShard-1,COUNT,1
